Gene,log2FC,pvalue,FDR
Sftpd,1.869249588,0.001736888,0.002704283
Sod3,-4.67431571,3.62E-107,5.59E-106
Spp1,2.537898987,1.23E-21,3.99E-21
Sstr5,2.751992647,0.027434281,0.038112974
Cntn2,-1.990623602,5.20E-25,1.85E-24
Thrsp,-3.811456865,8.45E-143,1.96E-141
Timp3,-2.145675212,5.66E-72,5.26E-71
Tmpo,2.348696328,2.26E-233,1.22E-231
Tshr,-4.451094161,2.63E-140,5.99E-139
Vcam1,1.835618899,8.63E-28,3.30E-27
Slc30a2,1.165297812,0.00096493,0.001532862
Acadvl,-1.070341666,6.27E-47,3.71E-46
Asic2,-2.438217804,1.66E-18,4.97E-18
Actg2,-8.950458404,3.46E-71,3.19E-70
Acvr2b,-1.451013531,6.89E-16,1.90E-15
Adarb1,-1.437686349,3.50E-25,1.25E-24
Adk,-0.482642351,1.07E-08,2.26E-08
Adora2a,-1.061239673,1.54E-20,4.84E-20
Adprh,0.336740232,3.49E-09,7.51E-09
Alad,2.729783932,1.77E-174,5.60E-173
Amh,1.333811248,1.96E-16,5.50E-16
Anp32a,0.587565857,6.43E-26,2.34E-25
Anxa1,-0.664445158,0.000104101,0.000177322
Apobec1,0.214686761,0.022061289,0.030974381
Faslg,0.591502599,0.002847135,0.004353628
Arrb2,2.304311419,7.01E-161,1.96E-159
Atf3,-0.942809529,1.08E-07,2.17E-07
Atp1b3,0.217795127,8.32E-06,1.52E-05
Atp2a3,1.698964843,1.38E-32,5.92E-32
Atp5if1,2.921092809,0,0
Bcan,-1.369943699,0.009508623,0.013830724
Cacna1a,-1.172156767,6.12E-22,2.01E-21
Cacna2d1,-1.676016044,2.05E-06,3.87E-06
Camk2a,2.742606676,5.03E-11,1.17E-10
Alx1,-4.496146962,7.97E-18,2.34E-17
Casp3,0.861919745,2.15E-68,1.87E-67
Cast,-1.072932827,1.80E-110,2.89E-109
Cav1,-5.189915468,8.77E-164,2.51E-162
Cd44,1.840972417,4.43E-55,3.06E-54
Cd59,-0.660511894,6.96E-15,1.86E-14
Cdh6,-4.563003444,1.46E-39,7.33E-39
Cebpe,4.763278786,6.48E-147,1.58E-145
Col2a1,1.171330102,0.035273149,0.048400781
Cpt2,-1.685887172,4.37E-41,2.27E-40
Bcar1,-1.526024568,3.43E-18,1.02E-17
Crmp1,-0.995009576,0.000181605,0.000304258
Dpysl2,-0.905968195,3.01E-25,1.08E-24
Dpysl4,-2.787191177,3.57E-32,1.51E-31
Dpysl3,-3.315170364,4.09E-77,4.14E-76
Crybb1,-3.278904658,5.26E-43,2.85E-42
Ctse,4.184527838,1.54E-164,4.43E-163
Ctsh,-0.666548677,2.98E-12,7.24E-12
Cyp1b1,-1.015155813,9.19E-10,2.03E-09
Cyp51,-0.497890191,6.78E-07,1.31E-06
Cyp7b1,-0.719622206,0.000115043,0.000195296
Drd4,3.042456728,1.57E-23,5.39E-23
Hbegf,0.650802156,0.045388833,0.061415259
Sparcl1,-2.380568628,6.46E-36,2.99E-35
Eef2k,0.417274816,6.67E-08,1.36E-07
Eno3,3.576751439,3.53E-13,8.89E-13
F2r,-0.660353117,2.62E-17,7.57E-17
Fcer1g,2.350132521,1.84E-107,2.85E-106
Fgf10,-8.440275663,6.17E-225,3.11E-223
Fgf9,-3.430623106,8.93E-13,2.22E-12
Fosl1,0.267712606,0.0393357,0.053654264
Fosl2,-1.004345654,2.40E-22,7.95E-22
Cenpi,5.71459062,0,0
Gfra1,-0.668159131,0.037986422,0.05193596
Ggh,2.006448082,3.38E-102,4.88E-101
Gss,-1.743059875,1.56E-130,3.19E-129
Hmgb1,0.885098356,1.65E-59,1.24E-58
Hmmr,4.9508427,0,0
Hrh2,-4.386308085,2.56E-110,4.11E-109
Hspe1,-0.444962171,3.94E-08,8.12E-08
Icam1,-1.777545163,2.94E-103,4.32E-102
Il1rap,-0.358741836,0.000843404,0.001346606
Irs1,-2.733485904,3.93E-42,2.09E-41
Kcna2,0.605883888,0.001007844,0.001599231
Kcna5,-3.888323685,1.18E-23,4.05E-23
Kcnj8,-2.621695512,1.14E-150,2.89E-149
Lamb2,-3.563853444,2.14E-90,2.58E-89
Lgals4,1.191758131,0.006642783,0.009809329
Lgals5,7.683945215,3.49E-143,8.13E-142
Lgals9,0.497850415,3.28E-11,7.67E-11
Lhcgr,-2.156288166,0.001559089,0.002437075
Vps35,0.173378427,0.000271901,0.000449807
Mip,2.620832719,1.01E-27,3.85E-27
Mmp11,-2.698167762,5.12E-19,1.55E-18
Mras,-1.408103761,2.15E-24,7.52E-24
Msx2,-1.862706075,0.001027349,0.001628434
Myo1e,-1.52850702,7.26E-88,8.50E-87
Myo1d,-2.405975038,2.65E-88,3.12E-87
Myo9b,0.669518657,3.64E-27,1.37E-26
Nedd4,-1.69803072,5.94E-188,2.18E-186
Nedd8,0.521878518,1.62E-33,7.13E-33
Nes,-3.216915788,1.18E-55,8.27E-55
Nfia,-1.774631814,7.78E-96,1.03E-94
Nfkbia,-0.612500378,2.49E-07,4.94E-07
Nid1,-4.192343526,2.89E-277,2.09E-275
Nog,-2.680322702,2.16E-41,1.13E-40
Notch1,-0.875082567,3.74E-24,1.30E-23
Nup50,1.012453425,3.11E-78,3.20E-77
Npm1,1.212543127,5.08E-92,6.33E-91
Nrdc,-0.4805995,4.02E-24,1.39E-23
Oaz1,1.360626753,3.58E-150,9.00E-149
Ocm,-1.301913024,0.006242438,0.009245834
P2rx1,2.126328143,1.54E-27,5.84E-27
P4hb,-0.373370923,6.69E-13,1.67E-12
Pcsk6,-0.671882607,2.88E-05,5.09E-05
Pam,-2.652465413,1.12E-121,2.07E-120
Pemt,-2.436977785,9.35E-39,4.62E-38
Pik3r1,-0.289442332,9.23E-06,1.68E-05
Lypla1,-0.642723637,3.53E-37,1.69E-36
Plk1,5.678812188,0,0
Pnoc,-8.961103422,1.08E-45,6.20E-45
Pou1f1,0.92868497,0.036106827,0.049494225
Ppia,0.227084863,3.29E-05,5.79E-05
Prkag1,1.102131116,2.05E-94,2.64E-93
Prkar1b,-0.519117332,0.028495577,0.039503896
Prkcz,-2.377752134,8.12E-18,2.39E-17
Prkg2,-2.201461582,0.000169268,0.000284121
Psap,-0.125681972,0.020702256,0.029150271
Ptgds,1.567581771,0.009342439,0.013599701
Ptgis,-2.004661116,6.02E-32,2.54E-31
Sirpa,0.782511883,2.05E-21,6.60E-21
Ptprs,-1.458405105,4.57E-45,2.60E-44
Rab12,-0.582166398,1.22E-06,2.33E-06
Rab3a,-0.887920034,4.20E-08,8.63E-08
Rab4a,-1.448755689,1.07E-42,5.74E-42
Rabggtb,0.876194003,5.06E-70,4.55E-69
Rock2,-1.386588569,5.12E-106,7.81E-105
Rps5,1.286554097,3.69E-101,5.25E-100
Sag,5.85172027,7.64E-180,2.55E-178
Scp2,-1.654227358,1.40E-63,1.14E-62
Ccl3,2.216556125,2.36E-42,1.27E-41
Selenow,0.561678296,0.013882732,0.019884132
Shox2,0.82265542,2.74E-05,4.86E-05
Slc34a1,1.649803839,0.000904163,0.001440118
Slc18a2,1.246660655,1.37E-34,6.18E-34
Slc1a1,-3.199525664,2.70E-29,1.07E-28
Slc2a3,1.34585108,1.06E-17,3.11E-17
Sstr4,1.103305552,0.001079032,0.001707519
Il1rl1,-0.641238358,0.001351112,0.002121281
Star,-4.585636228,2.42E-73,2.29E-72
Stxbp1,1.53114338,1.44E-47,8.63E-47
Abcc9,-2.941343128,3.27E-42,1.74E-41
Sycp3,-2.513082079,7.53E-71,6.90E-70
Tff3,-3.685004043,6.27E-12,1.51E-11
Tle4,1.206097488,1.55E-138,3.44E-137
Tmod1,3.352763055,7.51E-62,5.88E-61
Trh,-1.07893243,0.015381722,0.021954594
Ttpa,-0.988972543,3.51E-05,6.17E-05
Tnfrsf4,0.61904788,5.60E-05,9.72E-05
Ube2i,0.517733495,5.59E-60,4.23E-59
Ubtf,0.939709094,4.65E-72,4.33E-71
Scgb1a1,-1.362965525,0.015150137,0.021639709
Ywhah,1.636638102,9.13E-191,3.44E-189
Ywhaq,-0.624457331,1.29E-27,4.91E-27
Ywhaz,0.430594418,5.62E-15,1.51E-14
Map3k12,-1.00585236,9.08E-20,2.81E-19
Psmc2,0.442886704,4.26E-25,1.52E-24
Agrp,2.1183912,8.73E-20,2.71E-19
F3,-6.718937164,9.64E-258,6.24E-256
Id3,-2.179663552,3.48E-69,3.08E-68
Alpl,2.606590038,7.68E-29,3.00E-28
Id2,0.285487429,0.049934586,0.06727071
Kdr,-1.987389087,4.21E-72,3.93E-71
Chrna4,-2.956209873,1.23E-13,3.15E-13
Parp1,0.932061182,3.84E-68,3.33E-67
Agrn,-2.920013887,1.53E-119,2.76E-118
Hcrtr1,-3.146204689,9.49E-20,2.94E-19
Ppp1cb,1.023488932,6.54E-50,4.09E-49
Map2,1.112890154,0.003318509,0.005046768
Rpn1,0.3814698,3.57E-19,1.09E-18
Rasa2,-1.619616349,7.60E-40,3.84E-39
Utrn,-2.524231646,8.80E-191,3.31E-189
Oprm1,2.722914446,2.37E-05,4.22E-05
Tnxa-ps1,-3.421541767,1.91E-39,9.56E-39
Marcks,-0.590927215,1.88E-12,4.61E-12
Pcmt1,1.429985895,6.16E-195,2.40E-193
Lep,-7.261606954,4.18E-280,3.07E-278
Tub,-1.936365529,4.87E-08,9.98E-08
Csf3,-3.377100374,1.81E-10,4.11E-10
Asns,1.047703839,7.76E-26,2.82E-25
Ptprz1,2.468970534,6.11E-23,2.06E-22
Ptk2,-1.236181946,7.16E-35,3.25E-34
Sdc2,-2.862764296,3.71E-57,2.66E-56
Hspa5,-0.489144907,2.22E-12,5.42E-12
Acadsb,-2.679678573,4.42E-118,7.80E-117
Plau,-2.506790312,1.10E-77,1.13E-76
Crem,-0.115417221,0.041022153,0.055798975
Cd81,-1.683005503,1.91E-75,1.88E-74
Gys2,-1.97241399,4.04E-20,1.26E-19
Tnfrsf1a,-0.666322163,6.52E-26,2.37E-25
Krt8,-2.992721669,1.49E-33,6.55E-33
Cma1,2.057347707,5.97E-21,1.90E-20
Plin1,-4.99319714,5.39E-165,1.57E-163
Pkm,1.132160384,1.74E-12,4.27E-12
Smad3,-0.43259696,0.001061993,0.001681546
Hba-a1,6.945288607,0,0
Dnase1,1.026172623,4.61E-08,9.46E-08
Mc4r,-2.513903804,1.80E-09,3.92E-09
Prkaca,-0.766635333,1.30E-48,7.93E-48
Ptger1,0.332478602,2.98E-05,5.27E-05
Pde4a,-0.873026641,2.40E-11,5.64E-11
Fkbp1a,-1.628157791,3.59E-60,2.73E-59
Igfbp6,-4.707714976,6.36E-41,3.29E-40
Gnai3,0.223190826,3.42E-05,6.01E-05
Bmp6,-0.273105416,0.026563822,0.036960968
Adrb3,-6.041637347,4.80E-192,1.83E-190
Il7,-1.009335182,2.61E-12,6.36E-12
Slc7a1,2.530064761,4.10E-103,6.01E-102
Apoa2,3.34909088,1.15E-09,2.53E-09
Atp1b1,0.954717319,1.75E-05,3.14E-05
Selp,1.160654975,9.62E-09,2.03E-08
Ptgfr,1.822871344,1.93E-14,5.08E-14
Tshb,1.300985506,6.43E-06,1.18E-05
Col11a1,-0.795282147,0.004555241,0.006838987
Gja4,-2.949217221,2.77E-54,1.88E-53
Guca2a,0.79133818,0.005802705,0.008619094
Cd28,-0.651389881,0.000150879,0.000254061
Igfbp2,-1.451093032,0.002713968,0.00415795
Il1r1,-1.954070654,1.51E-95,1.98E-94
Pparg,-2.448378421,1.88E-87,2.18E-86
Scn5a,-1.027966232,0.016288951,0.023190199
Dgkg,2.816985385,6.41E-76,6.36E-75
Bmp3,-6.13349128,6.35E-100,8.90E-99
Cpe,-1.88157159,1.97E-18,5.89E-18
Il15,-0.985778633,5.73E-14,1.49E-13
Smad1,-1.121331539,6.98E-77,7.03E-76
Nr3c2,-1.184792313,3.07E-34,1.37E-33
Anxa5,-3.667622781,7.73E-216,3.59E-214
Glra1,-3.68693561,0.000156701,0.000263579
Hmgcr,1.333663437,6.43E-55,4.42E-54
Rasa1,-0.186349392,0.000172828,0.000289865
Mak,5.378440555,1.72E-74,1.67E-73
Ddr1,-0.576468066,1.53E-05,2.76E-05
Itpr3,-1.026667057,3.62E-16,1.01E-15
Col10a1,1.237593524,1.18E-07,2.38E-07
Ppard,-0.701329636,2.24E-14,5.90E-14
Col12a1,-2.313312209,3.73E-34,1.66E-33
Mep1a,1.823545522,0.006749211,0.009960028
Gnai1,-3.648437189,6.84E-183,2.38E-181
Cald1,-2.047373189,5.05E-69,4.46E-68
Clcn1,2.146139304,2.85E-06,5.34E-06
Ahr,-0.756668807,4.06E-14,1.06E-13
Plat,-4.352118161,2.89E-74,2.79E-73
Slc18a1,4.109196956,1.52E-17,4.44E-17
Has2,-3.257378671,1.24E-17,3.62E-17
Cebpd,1.027235903,3.17E-22,1.05E-21
Vldlr,-2.296380757,3.14E-34,1.40E-33
Ctsl,-1.75286616,2.69E-47,1.60E-46
Ass1,2.400405029,2.94E-17,8.49E-17
Dbh,-1.427526481,0.038320757,0.052371288
Mxi1,2.284533428,0,0
Rbp4,-3.630076119,2.82E-53,1.87E-52
Zeb1,-1.076292166,6.02E-48,3.63E-47
Cckbr,-2.06169908,0.001273563,0.002003673
Cntf,-0.209311986,0.049185629,0.066314495
Ucp3,-1.817864004,1.89E-17,5.49E-17
Hmbs,4.647689741,0,0
Gucy2c,2.638168738,7.43E-15,1.99E-14
Ifng,-1.249538532,0.007097402,0.010453006
Itgb7,1.94030522,1.45E-17,4.22E-17
Myf6,5.316411321,4.08E-10,9.13E-10
Slc11a2,0.330474421,9.96E-07,1.91E-06
Tgfb3,-2.51225522,2.74E-30,1.11E-29
Igf1r,-0.854537826,2.87E-06,5.37E-06
Scg5,-1.362678299,0.000109996,0.000187041
Tcf12,-0.165703543,5.92E-05,0.000102699
Scn4a,1.829606851,2.72E-06,5.11E-06
Itgb4,-3.319582769,2.80E-67,2.40E-66
Mc5r,1.90017561,4.46E-09,9.56E-09
Ccne1,5.53217978,0,0
Syt3,-1.620685671,1.27E-21,4.11E-21
Hck,2.51801408,2.16E-99,3.00E-98
Kcnb1,-4.196338057,5.30E-96,6.99E-95
Pcna,3.274686283,0,0
Plcg1,-1.541544625,4.19E-82,4.54E-81
Pygb,-1.35721734,3.01E-30,1.22E-29
Gnaz,4.918833213,1.20E-159,3.32E-158
S100b,-4.448330812,9.22E-98,1.25E-96
Nf2,-0.975043292,4.67E-41,2.42E-40
Ppara,-1.195932931,2.68E-22,8.89E-22
Alas2,8.224161247,0,0
Clcn5,-0.545093053,7.88E-12,1.89E-11
Dnm2,0.670384495,2.42E-55,1.68E-54
Cd6,0.969252883,2.45E-15,6.65E-15
Chrng,1.844474117,0.000326467,0.000536925
Cpt1b,-0.732156813,0.003033412,0.004625797
CYTB,2.510133643,2.56E-17,7.40E-17
ND1,2.552263205,4.09E-18,1.21E-17
ND2,2.338418881,1.37E-15,3.74E-15
COX1,2.616918508,1.82E-19,5.60E-19
ATP8,2.617558353,6.56E-19,1.98E-18
ATP6,2.793358952,3.86E-21,1.23E-20
COX2,2.700066745,1.25E-20,3.95E-20
ND3,2.539986429,3.99E-19,1.21E-18
ND4L,1.959745003,2.44E-11,5.74E-11
ND4,2.303113079,9.38E-15,2.50E-14
ND5,2.600132952,3.67E-19,1.12E-18
ND6,2.779870588,8.61E-22,2.81E-21
COX3,2.778203706,2.49E-21,8.02E-21
Ogt,0.265529489,0.000171654,0.000288011
Tfec,1.72492707,1.09E-36,5.14E-36
Acot7,0.542499176,1.11E-10,2.55E-10
Akr7a3,5.226054648,7.06E-79,7.33E-78
Rheb,-0.371776555,1.49E-21,4.83E-21
Afdn,-2.236325168,1.49E-177,4.84E-176
Ak3,-2.110436382,3.40E-140,7.73E-139
Rpl8,1.17544229,8.55E-91,1.04E-89
Hbp1,-0.427486728,4.03E-15,1.09E-14
Gfer,-0.145949358,0.04276468,0.058058386
Eif2ak1,2.372950167,2.42E-174,7.64E-173
Rps26,0.985731661,2.33E-67,2.00E-66
Cntn6,-1.61448533,0.013417731,0.019247934
Rpl32,0.796449309,3.51E-42,1.87E-41
Syn3,-0.67553321,6.35E-06,1.17E-05
Axin2,-2.102428397,3.18E-95,4.15E-94
Hpn,3.649044188,1.10E-35,5.06E-35
Bsn,-2.606379114,1.18E-16,3.35E-16
Dcn,-3.199346509,6.46E-66,5.43E-65
Snn,-1.657275649,2.68E-58,1.96E-57
Vnn1,-3.598416262,4.83E-122,9.00E-121
Grn,-0.278299976,3.15E-05,5.56E-05
Canx,0.355494582,2.24E-12,5.47E-12
Ctxn1,-1.538452583,0.000106589,0.000181456
Jag1,-3.22660676,6.21E-157,1.67E-155
Jag2,-2.447279731,3.50E-38,1.71E-37
Myog,2.121678949,0.001436864,0.002251612
Strn,-0.682275359,3.18E-29,1.26E-28
Ucn,1.885013717,0.019205878,0.027144405
Capn1,1.123116761,3.71E-115,6.31E-114
Capn2,-1.523602244,2.37E-131,4.90E-130
Capn3,2.927476092,6.67E-16,1.85E-15
Capns1,-0.779669753,2.51E-57,1.80E-56
Ccng2,0.27379179,0.001643446,0.002564736
Fbln5,-2.801416531,3.78E-100,5.31E-99
Cav3,2.892164487,3.78E-06,7.04E-06
Cdh7,-1.434754766,0.00250773,0.003851757
Cdh9,-2.63331936,1.12E-09,2.47E-09
Gzmk,0.526221399,0.00097145,0.001542804
Dctn1,-0.34384223,8.15E-11,1.88E-10
Vtn,-2.373488216,8.85E-11,2.03E-10
Aqp6,4.31250247,4.01E-13,1.01E-12
Aqp7,-4.957708094,2.58E-189,9.59E-188
Csn2,4.939172186,3.09E-06,5.78E-06
Ctsk,1.019643757,3.52E-11,8.24E-11
Hpca,1.874521723,0.005231219,0.007804749
Syn2,-2.894362867,1.96E-18,5.86E-18
Cdh22,-2.776302003,6.34E-16,1.76E-15
Areg,5.354949307,2.38E-42,1.27E-41
Cd36,-1.719084054,4.30E-71,3.95E-70
Cd37,2.541309176,1.48E-85,1.68E-84
Cd63,-0.641073046,6.06E-28,2.32E-27
Cd69,0.500543772,0.004107942,0.006191948
Csn3,4.351582111,3.77E-06,7.02E-06
Fdx1,-0.372197397,0.000647814,0.001043444
Tac3,-4.091239272,4.03E-13,1.01E-12
Psen1,-0.391791347,7.59E-05,0.000130493
Chad,-0.655611641,0.034140027,0.046943925
Il18,0.508664568,1.80E-05,3.23E-05
Hfe,-0.510101888,4.04E-09,8.67E-09
Inhba,1.778182718,4.73E-11,1.10E-10
Ctf1,-2.676232124,2.12E-67,1.83E-66
Neu2,1.721680068,0.001227344,0.001933014
Syngr1,1.647510618,6.03E-24,2.08E-23
Casq2,-1.286100169,5.22E-05,9.08E-05
Epha3,-2.413510676,2.35E-13,5.96E-13
Tubb4a,1.666812043,5.43E-06,1.00E-05
Tubb5,2.239091885,1.69E-213,7.57E-212
Arg2,-1.583304543,3.50E-17,1.01E-16
Lrp2,-2.308079517,4.16E-16,1.16E-15
Rcn2,0.407759539,7.37E-11,1.70E-10
Snca,7.609464967,0,0
Arg1,-2.636334367,7.33E-18,2.16E-17
Ptma,1.514900637,3.42E-184,1.21E-182
Cbr1,-1.383935554,2.26E-29,8.98E-29
Nfib,-2.461043807,8.71E-101,1.23E-99
Nfic,-0.769895857,3.11E-08,6.43E-08
Sqle,0.473369616,4.77E-07,9.32E-07
Ciao1,0.223056399,2.99E-07,5.89E-07
Clcn2,0.370990108,0.003006668,0.004587379
Clcn7,-0.570187795,9.81E-19,2.96E-18
Galr2,-2.845177968,4.79E-116,8.27E-115
Galr3,-2.916041593,4.94E-12,1.19E-11
Rpsa,0.9861057,3.62E-54,2.45E-53
Polb,-0.377445201,7.53E-07,1.46E-06
Ca4,-5.908363364,2.51E-46,1.47E-45
F10,1.360094057,0.000123167,0.000208716
Gch1,4.846352781,0,0
Stmn3,1.942898411,6.97E-05,0.000120178
Tnni3,2.013486773,1.70E-09,3.72E-09
Gzmm,0.581365148,3.19E-05,5.62E-05
Maoa,-2.986938034,7.41E-90,8.90E-89
Mgll,-2.687652806,1.03E-152,2.64E-151
Rpl9,0.750976327,2.81E-32,1.20E-31
Rps7,1.047089008,2.58E-89,3.07E-88
Sell,6.158053524,1.16E-188,4.29E-187
Tlr4,-0.394695925,0.002061872,0.003187294
Tyms,2.650017705,1.23E-298,1.03E-296
Acvr2a,-1.849141277,1.83E-150,4.61E-149
Mcpt2,2.799425667,9.00E-14,2.32E-13
Tpsb2,-1.149177912,0.000376684,0.000616941
Mcpt8,5.702988237,1.11E-134,2.38E-133
Spr,2.86124873,0,0
Cfl1,0.405129206,5.92E-11,1.37E-10
Rnf4,-0.103973207,0.001094287,0.001730642
Csrp1,-0.64149306,1.24E-08,2.61E-08
Lasp1,-0.718236364,1.98E-26,7.31E-26
Meox2,-3.700302789,1.56E-40,7.99E-40
Rpl23,0.877818174,2.93E-60,2.23E-59
Rpl29,0.554191483,2.13E-24,7.45E-24
Rps14,1.12014289,1.52E-73,1.45E-72
Rps15,1.109641735,5.40E-112,8.85E-111
Rps17,1.229322421,1.22E-89,1.46E-88
Rps19l2,0.678043969,3.14E-34,1.40E-33
Rps3a,0.812704085,1.30E-44,7.33E-44
Adora1,-2.43426502,7.62E-44,4.22E-43
Ftl1,0.675908746,1.78E-10,4.05E-10
Cyp2b12,-2.790523111,1.28E-08,2.70E-08
Cyp2c7,2.237914379,0.015533944,0.022159033
Gata6,-7.723361693,4.77E-88,5.59E-87
Hal,1.439971435,0.044157009,0.059832263
Itgb3,3.906805182,1.02E-71,9.42E-71
Rps6,1.088806423,8.94E-83,9.79E-82
Gpr182,0.412480529,3.04E-05,5.38E-05
Arl4a,1.751645825,8.75E-56,6.12E-55
Coq3,0.406994487,2.61E-12,6.36E-12
Clec11a,-0.55521514,0.002534297,0.003891552
Adora2b,-1.11610653,1.42E-06,2.71E-06
Csrp2,-0.373396562,0.039210566,0.053498381
Ddt,-1.380107044,1.10E-32,4.73E-32
Plcb3,-1.17022115,2.80E-74,2.71E-73
Gpx2,-2.945243113,1.75E-08,3.67E-08
Stmn1,4.257618554,0,0
Cd46,-1.087102937,7.98E-17,2.27E-16
Oprk1,-2.069509646,4.83E-05,8.42E-05
Sigmar1,-1.45835874,3.63E-50,2.28E-49
Plcg2,2.289492024,1.67E-70,1.52E-69
Prdx2,3.825098226,0,0
Zfp36l1,-1.922400123,2.31E-108,3.63E-107
Serpinh1,-4.183980507,0,0
Fgf7,-1.746696053,4.37E-37,2.08E-36
Pla2g5,-2.114258849,1.65E-27,6.27E-27
Pkn1,0.465261065,9.71E-11,2.23E-10
Smad2,-0.577849233,1.07E-53,7.17E-53
Npy1r,-4.032509771,4.83E-64,3.93E-63
Pla2g10,-1.896020744,0.001942214,0.003010976
Selenop,-1.772172546,3.48E-60,2.64E-59
Tef,-1.304848345,1.27E-19,3.91E-19
Cxcr5,-0.932675475,4.79E-07,9.37E-07
Cd47,1.279996519,1.74E-67,1.50E-66
Mpdz,-2.420406927,2.07E-61,1.61E-60
Serpine2,0.331323478,0.019529887,0.027578624
Chkb,-0.37407721,3.48E-07,6.85E-07
Fgf18,-5.146299998,8.07E-63,6.45E-62
Rasa3,1.229290989,4.53E-23,1.53E-22
Bmp2,-0.829226184,6.03E-17,1.72E-16
Cct4,0.596716144,1.58E-41,8.29E-41
Irs2,-0.522943373,8.40E-11,1.93E-10
Phlda1,-1.093006852,4.23E-15,1.14E-14
Acvr1b,-0.362649112,0.000385598,0.000631157
Ctbp1,1.673466688,6.37E-190,2.39E-188
Fah,-2.409316657,9.04E-48,5.44E-47
Macroh2a1,1.36319876,1.20E-116,2.08E-115
Cxcr2,2.472955076,5.56E-31,2.29E-30
Pla2g2c,-1.456574132,0.002171868,0.003352074
Tnni1,3.895852948,4.47E-11,1.04E-10
Tnni2,4.570145039,1.64E-12,4.03E-12
Ptpmt1,-1.005713678,7.97E-44,4.41E-43
Tsx,-0.918125884,0.005475325,0.00815127
Bace1,-1.44635072,7.38E-85,8.29E-84
Col1a1,-2.606233096,5.44E-51,3.47E-50
Hmgb2,6.025740155,0,0
Ccl11,-5.881535288,1.00E-99,1.40E-98
Stk10,0.89285524,8.73E-23,2.93E-22
Unc119,2.593036541,1.52E-262,1.01E-260
Asgr2,-3.13685659,1.33E-13,3.42E-13
Tas1r1,0.901936766,1.20E-08,2.52E-08
Adra1a,-4.752250201,1.20E-49,7.49E-49
Adra1d,-3.795622188,4.26E-35,1.94E-34
S1pr2,-0.880687366,1.55E-12,3.81E-12
Aadat,-1.714779444,1.67E-05,3.00E-05
Men1,-0.19961103,2.38E-05,4.24E-05
Numb,-0.716309074,3.84E-19,1.17E-18
Urod,3.490130244,0,0
Chrne,-1.016039457,3.98E-09,8.54E-09
Htt,-0.37000414,2.16E-09,4.70E-09
Psmb5,0.215240342,3.55E-05,6.23E-05
Rps4x-ps9,0.397346523,2.45E-12,5.99E-12
Aif1,2.117996687,2.50E-73,2.37E-72
Celf2,-1.080747942,2.88E-28,1.11E-27
Hap1,-0.380130797,0.024998443,0.034897789
Pak1,1.766057373,1.71E-42,9.16E-42
Pak2,-0.253572277,0.016876963,0.023990394
Pak3,-0.582122212,0.010992867,0.015889626
Rasgrp1,0.368505959,0.015050853,0.02150101
Ssr4,0.822337788,2.27E-54,1.55E-53
Acta1,4.138522978,1.16E-07,2.34E-07
Jtb,-0.246522383,8.10E-06,1.48E-05
Slc26a4,-3.788227276,1.97E-10,4.47E-10
Por,-1.765075739,1.34E-144,3.19E-143
Ahcy,0.520078863,1.24E-08,2.60E-08
Cox4i1,-0.469642407,7.30E-15,1.95E-14
Rab7a,-0.585345499,1.46E-31,6.09E-31
Epas1,-2.125723632,1.50E-43,8.24E-43
Gdf11,-1.354041668,2.45E-21,7.90E-21
Gdf15,1.798114817,1.40E-14,3.71E-14
Map1b,-1.771023524,1.03E-27,3.93E-27
Map6,-2.204447871,1.01E-24,3.54E-24
Rbbp9,-0.814642412,3.82E-59,2.84E-58
Tesk1,-0.776095004,1.57E-16,4.43E-16
Vgf,2.535956656,0.000184945,0.000309732
Ptp4a1,-1.227952482,7.02E-54,4.72E-53
Slc6a6,-0.757591752,1.29E-15,3.55E-15
Trpv2,-0.626102254,0.000109004,0.000185471
Ddit3,-0.908209018,9.71E-34,4.29E-33
Pdia3,-0.623268298,6.56E-31,2.70E-30
Lbp,3.274745512,3.50E-84,3.91E-83
Mecr,-1.479769145,4.63E-65,3.84E-64
Npy4r,-1.305053757,7.93E-07,1.53E-06
Aoc3,-5.220632405,1.74E-229,9.08E-228
Coro1b,0.471604847,1.51E-19,4.65E-19
Dio3,-5.35720353,2.83E-25,1.01E-24
Glg1,-1.525011322,2.23E-107,3.46E-106
Mapt,-0.930842174,0.000283555,0.000468302
Ndufs6,0.401585013,0.013675234,0.01959832
Odf2,1.206275772,8.51E-115,1.44E-113
Rgs4,-3.759164647,1.63E-61,1.27E-60
Rgs9,-1.437733517,9.88E-05,0.00016861
Slc1a3,-2.892974303,3.69E-113,6.11E-112
Slc7a3,1.457006528,7.96E-09,1.69E-08
Smc3,1.242746402,8.06E-160,2.23E-158
Gstt2,-2.887580849,6.71E-93,8.48E-92
Dync1h1,-1.35645031,1.92E-91,2.36E-90
Itsn1,1.781885807,5.20E-69,4.60E-68
Dlg4,-1.291125251,1.43E-20,4.50E-20
Erbb3,-1.1480289,3.09E-06,5.78E-06
Ptbp1,0.993589515,4.14E-69,3.67E-68
Pts,-0.379420171,9.76E-09,2.06E-08
Slc12a4,-1.40458029,2.70E-57,1.94E-56
Slc20a2,-1.425824525,1.32E-27,5.01E-27
Slc22a2,-0.619303389,0.020583544,0.02899041
Slc22a3,-3.107594164,1.33E-61,1.04E-60
Cox7a2,0.287536675,0.001125577,0.001778511
